Common_Point_ID,Patch_ID,Dataset_Index,Patch_Row,Patch_Col,Scan_Start,Scan_End,Pixel_Start,Pixel_End,OHRC_tile_id,IIRS_row,IIRS_col,Common_Latitude,Common_Longitude,Latitude,Longitude_360,OHRC_lat,OHRC_lon,IIRS_lat,IIRS_lon,OHRC_distance_deg,IIRS_distance_deg,OHRC_IIRS_distance_deg,Max_Sensor_Separation_deg,Consistency_Score,ThreeSensor_Common
CP_000807,6047,6047,72,71,3456,3503,3408,3455,98,125,226,60.99697533959511,355.34152093684816,60.99730142900001,355.34017670192503,60.9972981432521,355.3427113039318,60.996326,355.34167,0.0025346041365395234,0.0017874290748162045,0.0014207481117350278,0.0025346041365395234,0.8965326817546215,True
CP_000808,6466,6466,77,75,3696,3743,3600,3647,787,139,238,60.95814541635385,355.41139838575583,60.9580264515,355.4105405701499,60.95734912861624,355.41270488008644,60.95906,355.41095,0.002267819170519356,0.0011122044379790646,0.002451530695648886,0.002451530695648886,0.8964614375025475,True
CP_000809,7542,7542,90,72,4320,4367,3456,3503,2488,177,229,60.85639525925989,355.3575415827898,60.8556216285825,355.35748294515,60.85684799319131,355.3563466372039,60.856716,355.3588,0.0016718749660710192,0.0017087755500964875,0.0024520755260229086,0.0024520755260229086,0.8964399803973334,True
CP_000810,11280,11277,135,75,6480,6527,3600,3647,8534,309,238,60.501838367812525,355.4086153510766,60.5014215758225,355.40878092195,60.501716971218606,355.4072445746393,60.502377,355.40982,0.0015644876154893607,0.0014116756662483302,0.0026590855341483296,0.0026590855341483296,0.8963208206245706,True
CP_000811,10369,10369,124,77,5952,5999,3696,3743,7055,277,244,60.58853122424866,355.4449957122606,60.588056005,355.44394656495,60.58902524709168,355.44652152886295,60.588512,355.44452,0.0027513395619603877,0.0007321518499793705,0.002067109264488265,0.0027513395619603877,0.8962257470201449,True
CP_000812,10940,10940,131,67,6288,6335,3216,3263,7967,297,214,60.53350162383588,355.27069743637225,60.532690028,355.26985462235,60.533890740724445,355.2701429602041,60.533924,355.2721,0.0012348480735529944,0.0025575393356424294,0.001952051470812456,0.0025575393356424294,0.8962252723043711,True
CP_000813,8540,8540,102,74,4896,4943,3552,3599,4117,213,235,60.76091779965548,355.3934024326629,60.76120705,355.3922693777249,60.761364921964486,355.3947494437013,60.76018,355.3932,0.002485085673451636,0.001377187426379834,0.001958897326241229,0.002485085673451636,0.8961717987559458,True
CP_000814,11439,11436,137,68,6576,6623,3264,3311,8781,315,217,60.48576712656919,355.28771357142523,60.485489987,355.28722190875004,60.4861584691236,355.2866426824788,60.485653,355.28928,0.0008845176215528602,0.00206066608350714,0.0026815267140314295,0.0026815267140314295,0.8961470358359642,True
CP_000815,10613,10613,127,72,6096,6143,3456,3503,7443,286,229,60.564561661461106,355.3570448382634,60.564338031502494,355.35683190955,60.565439329589786,355.3560262380528,60.563908,355.35828,0.0013645380311761472,0.0015072189937136143,0.0027219855452629785,0.0027219855452629785,0.8960533985573035,True
CP_000816,12195,12190,146,77,7008,7055,3696,3743,10028,342,244,60.414316197998204,355.4442564549927,60.41486156185751,355.443082125775,60.41419237881678,355.4456564774844,60.413895,355.44403,0.002659904634725985,0.0013545561166303636,0.0016527529222460297,0.002659904634725985,0.8959110211458955,True
CP_000817,7623,7623,91,70,4368,4415,3360,3407,2662,180,223,60.84750838239895,355.323502035865,60.84769437600001,355.32237270255,60.84634673189019,355.3239756902011,60.848484,355.32416,0.002094209649553849,0.0019518803822565108,0.002145044513041347,0.002145044513041347,0.8957977617763369,True
CP_000818,14262,14255,171,69,8208,8255,3312,3359,13334,415,220,60.21783491018101,355.304838149606,60.217857712,355.30436361215004,60.21854496776179,355.3039069401834,60.217102,355.30624,0.0008251483304273907,0.002026448384602799,0.0027465203740871646,0.0027465203740871646,0.8956920317099435,True
CP_000819,6218,6218,74,76,3552,3599,3648,3695,385,131,241,60.98114749637889,355.4290761119023,60.981664571,355.42825439815,60.9811375067597,355.4306597285725,60.98064,355.4283,0.0024623994710104707,0.001025904610281085,0.002397616724540511,0.0024623994710104707,0.8956459965394683,True
CP_000820,13594,13588,163,65,7824,7871,3120,3167,12285,391,208,60.28052387571386,355.2368044888758,60.2806866615,355.23542207412504,60.27965403912791,355.23735101164306,60.28123,355.23764,0.0021879462771616457,0.0022840992037789862,0.0016032181294884193,0.0022840992037789862,0.8955079648223996,True
CP_000821,14103,14096,169,76,8112,8159,3648,3695,13087,409,241,60.23390643628841,355.42495383084065,60.233776687,355.42496519115,60.23412075296874,355.4235657349656,60.23382,355.42633,0.0014411311539567076,0.0013661226131239407,0.0027809395145780096,0.0027809395145780096,0.8953858400470417,True
CP_000822,10443,10443,125,68,6000,6047,3264,3311,7205,280,217,60.57950288450346,355.2887760053447,60.5799622385625,355.28725138375,60.57887264785804,355.28970895650264,60.579674,355.28937,0.00268828416238454,0.0021358622970720454,0.0008707838735032858,0.00268828416238454,0.8952098188081947,True
CP_000823,7047,7047,84,75,4032,4079,3600,3647,1733,160,238,60.90242881677657,355.41132615328326,60.902921154042495,355.41032733235,60.90171637050598,355.41285400835926,60.90265,355.4108,0.0027992132869195693,0.0005429621118204846,0.0022584181630458176,0.0027992132869195693,0.895002414391182,True
CP_000824,8452,8452,101,69,4848,4895,3312,3359,3965,210,220,60.76877392402992,355.30607829758236,60.7689454825,355.30476997615006,60.76956928275383,355.30667170370646,60.767807,355.3068,0.002001423107553601,0.0023215541660828337,0.00176645998896505,0.0023215541660828337,0.894862607141446,True
CP_000825,11693,11689,140,73,6720,6767,3504,3551,9203,324,232,60.46199854888587,355.37391444150745,60.46201564399999,355.37393136675,60.46207738424943,355.37250678199126,60.461903,355.3753,0.0014259220151428293,0.0013784505934940235,0.0028038457345406632,0.0028038457345406632,0.8948491990285228,True
CP_000826,6211,6211,74,69,3552,3599,3312,3359,361,130,220,60.981910529733476,355.30547306549744,60.981494350000006,355.30492126555,60.98151781781369,355.30449109500495,60.98272,355.307,0.0004308102088979603,0.0024187607868181938,0.00278797481811322,0.00278797481811322,0.8946809921007175,True
CP_000827,11283,11280,135,78,6480,6527,3744,3791,8544,309,247,60.50189212720327,355.4604792236625,60.501468167,355.46088634837497,60.50157225879927,355.4590645062062,60.502636,355.4615,0.0018248134125643184,0.001313123209234596,0.0026455695109337874,0.0026455695109337874,0.8946365544541688,True
CP_000828,14426,14419,173,67,8304,8351,3216,3263,13598,421,214,60.20186383503856,355.2711697126527,60.2020387285,355.26993741975,60.20273566846138,355.2716600971144,60.200817,355.2719,0.0018583171450476386,0.0023216001409831627,0.0019349775099700406,0.0023216001409831627,0.8945438132876999,True
CP_000829,10033,10033,120,73,5760,5807,3504,3551,6546,265,232,60.61941214885977,355.3754787892055,60.61946893146249,355.374379421375,60.61836422532191,355.376446594679,60.620403,355.3756,0.0023438389718157186,0.0015453849422887892,0.0022038798685502553,0.0023438389718157186,0.8945382155691189,True
CP_000830,7879,7879,94,77,4512,4559,3696,3743,3046,189,244,60.8246472831039,355.4459814631846,60.824236225,355.44508801895,60.82478878471208,355.44766594091635,60.824917,355.4452,0.002636475658904388,0.0006882762471248593,0.0024788210702654427,0.002636475658904388,0.8944993920600115,True
CP_000831,10359,10359,124,67,5952,5999,3216,3263,7066,277,214,60.58744210864372,355.2705351240476,60.58779882850001,355.269845425175,60.58687719835888,355.26963470282726,60.58765,355.27213,0.0009454131503649682,0.002284652163233139,0.002607773139407173,0.002607773139407173,0.8944298550948444,True
CP_000832,14100,14093,169,73,8112,8159,3504,3551,13077,409,232,60.23384657704192,355.3734399524142,60.2337156545,355.373277430375,60.23425779244607,355.37216449717994,60.233566,355.37488,0.001237955511841369,0.0016074543669480552,0.0028001606481725676,0.0028001606481725676,0.8944283603108181,True
CP_000833,9200,9200,110,70,5280,5327,3360,3407,5184,236,223,60.69805541164527,355.32243948358433,60.698120686,355.32218248895,60.69799791099637,355.321161352428,60.698048,355.32397,0.0010284908837658764,0.0017936085517565395,0.0028136963977291184,0.0028136963977291184,0.8943813471127419,True
CP_000834,9955,9955,119,78,5712,5759,3744,3791,6382,263,247,60.62745301785423,355.46136496529545,60.6274329869625,355.46156558675,60.62872062226424,355.46064576421463,60.626205,355.46188,0.0015824279341706965,0.001268052955952473,0.002803251877773407,0.002803251877773407,0.8942876919291253,True
CP_000835,11855,11850,142,69,6816,6863,3312,3359,9460,330,220,60.44599158679412,355.30493376162093,60.446159690022505,355.304548056175,60.44637287065283,355.3037957091566,60.445442,355.30646,0.000781966762254542,0.0020398143694042793,0.002819819653809279,0.002819819653809279,0.8942322445090327,True
CP_000836,12277,12272,147,76,7056,7103,3648,3695,10159,345,241,60.40634191076694,355.4255844306085,60.4069712288425,355.42572458335,60.40630422880011,355.42424037839754,60.40575,355.4268,0.0016271918748271767,0.0016193474678749425,0.002607474440511719,0.002607474440511719,0.8942313972034305,True
CP_000837,9038,9038,108,74,5184,5231,3552,3599,4927,230,235,60.714057145417314,355.39185050070705,60.71396647700001,355.39210319075005,60.713693087914045,355.3903819051211,60.71451,355.39307,0.001742861385406031,0.0011069051825433594,0.0028065909224917838,0.0028065909224917838,0.8942131448383379,True
CP_000838,11198,11195,134,76,6432,6479,3648,3695,8403,306,241,60.50981269842814,355.42732056590427,60.509313019,355.426184558975,60.50960414122586,355.4287141504566,60.51052,355.42706,0.00254628851742658,0.0014935525603920142,0.0018886099282280566,0.00254628851742658,0.8940657559565847,True
CP_000839,10778,10778,129,71,6192,6239,3408,3455,7710,292,226,60.548619383828,355.33981606382076,60.54856681700001,355.339402279975,60.54959235987462,355.3390119759404,60.5477,355.34103,0.0010973037077642207,0.0018480936989886802,0.0027700592796513494,0.0027700592796513494,0.893931050424305,True
CP_000840,10448,10448,125,73,6000,6047,3504,3551,7176,280,232,60.5804993367316,355.37429356068674,60.58010715649999,355.37427594175006,60.58128602581395,355.3730554239039,60.580105,355.37555,0.0016968785083702222,0.0012733767853635985,0.0027594797282074358,0.0027594797282074358,0.8938848156231414,True
CP_000841,7292,7292,87,71,4176,4223,3408,3455,2125,169,226,60.87847435175576,355.3413431875537,60.8792123315,355.339972004925,60.87808267200949,355.3425353409392,60.878128,355.34152,0.0028012179647692115,0.0018917767857147558,0.0010141399554964758,0.0028012179647692115,0.8936455916156294,True
CP_000842,9695,9695,116,67,5568,5615,3216,3263,5985,253,214,60.65112222535391,355.2706682394887,60.6507819945,355.26980500935,60.650458369305866,355.27004394739726,60.652126,355.27216,0.0004022743550038937,0.0027079931550491243,0.0026910580471075723,0.0027079931550491243,0.8936335160973786,True
CP_000843,13690,13684,164,78,7872,7919,3744,3791,12418,394,247,60.27373962590798,355.45953691323126,60.27316422092501,355.45964915175,60.27376266461143,355.45817667583447,60.274292,355.4608,0.00158944020574716,0.0016005685284996834,0.002661406423028789,0.002661406423028789,0.8935897302461946,True
CP_000844,9946,9946,119,69,5712,5759,3312,3359,6397,262,220,60.62728878904958,355.30522402422736,60.627232609500005,355.304678850525,60.626517149982725,355.30435259715705,60.628117,355.30664,0.0007863355396911097,0.002151746232292465,0.002791654758518328,0.002791654758518328,0.893482608887247,True
CP_000845,13429,13423,161,66,7728,7775,3168,3215,12018,385,211,60.296470307514966,355.2538823209316,60.2964749595,355.2526545904,60.295504017244106,355.2542011126293,60.297432,355.2548,0.0018260503470297572,0.0023411917387863215,0.0020162296898343928,0.0023411917387863215,0.8934417060695401,True
