Common_Point_ID,OHRC_tile_id,Common_Latitude,Common_Longitude,Consistency_Score
CP_001023,4,61.00403306627242,355.3230247736481,0.8743702961796649
CP_001024,6532,60.61932825342922,355.30498684221953,0.8740947975220683
CP_001025,9605,60.43810034952569,355.35646702588815,0.8740717737496836
CP_001026,6008,60.650379059165125,355.3915357161571,0.8739848346747524
CP_001027,5586,60.67415367590946,355.30493625626895,0.8737485308573345
CP_001028,4650,60.729937532200246,355.3570185836277,0.8737045466277567
CP_001029,2388,60.86340788920086,355.30538765610726,0.8736962164181619
CP_001030,8267,60.51688087761107,355.425861644145,0.8736602406188365
CP_001031,7845,60.54065958098341,355.33956081530056,0.8733893685019746
CP_001032,662,60.96525732159329,355.464114405726,0.8732142437172615
CP_001033,8000,60.5328182102917,355.4431160314512,0.873136312918207
CP_001034,7839,60.54061135176496,355.3061102465622,0.873101579977563
CP_001035,11230,60.34350150774508,355.3735231601648,0.8730477635733108
CP_001036,12780,60.24957053036908,355.23595840860366,0.8730187211410557
CP_001037,4907,60.713930368059295,355.28759617378364,0.8729209341329078
CP_001038,496,60.973950461197944,355.3052277100535,0.8728780308523435
CP_001039,7201,60.57948233503569,355.27030225152134,0.8728485672291033
CP_001040,12533,60.265662975835994,355.3561450483732,0.8728374773052409
CP_001041,12543,60.26572598410269,355.407701164266,0.8724332545934441
CP_001042,13469,60.20987441173946,355.30458763003406,0.8724212326233316
CP_001043,7578,60.556602454127436,355.3567970858244,0.8723410189104235
CP_001044,8679,60.49393303468602,355.4602047267831,0.871942090537563
CP_001045,12523,60.26559187200356,355.3045811414293,0.8717774212257675
CP_001046,8916,60.47780716568519,355.2874760081657,0.8716165889261467
CP_001047,9348,60.45409947334024,355.4254680750139,0.8715948335834411
CP_001048,8669,60.493879187085554,355.4083592114063,0.8714552607486132
CP_001049,9862,60.422092114982604,355.28753113193443,0.8714136889273171
CP_001050,651,60.96610765355965,355.40990010287686,0.8706259546498403
CP_001051,10561,60.38334167083451,355.40812651568467,0.8703655049310339
CP_001052,7311,60.572542442600366,355.37403364967673,0.8702576284568523
CP_001053,5741,60.66631971712665,355.4088249660756,0.8699731499090515
CP_001054,10928,60.360382159513726,355.44244364000315,0.8698513063978484
CP_001055,13861,60.18678975502875,355.2358300068077,0.8695689730690792
CP_001056,12553,60.265779705950365,355.45925931803373,0.8695181427842744
