Judge_Point_ID,Common_Point_ID,Patch_ID,OHRC_tile_id,IIRS_row,IIRS_col,Common_Latitude,Common_Longitude,OHRC_distance_deg,IIRS_distance_deg,OHRC_IIRS_distance_deg,Max_Sensor_Separation_deg,Consistency_Score
JUDGE_0070,CP_000094,6216,378,131,235,60.98111364237328,355.39350638284714,0.0009290574511156622,0.0013241967100321027,0.0008122753422043354,0.0013241967100321027,0.9451284223326976
JUDGE_0071,CP_000098,8954,4789,227,232,60.721996367214615,355.3753116468603,0.0008211779118678457,0.0013521102239307582,0.0008829332686069951,0.0013521102239307582,0.9448958546457955
JUDGE_0072,CP_000099,7128,1861,163,232,60.89443172448872,355.3755758907343,0.0011585498094340055,0.0011756760535276344,0.0009081702603623987,0.0011756760535276344,0.9447740977893541
JUDGE_0073,CP_000100,13854,12682,400,241,60.257784240921985,355.42575415126277,0.0009291636366803886,0.0014595242338781536,0.000588062140894554,0.0014595242338781536,0.9445465719333594
JUDGE_0074,CP_000102,11279,8531,309,235,60.5018168884346,355.39190704069915,0.00045813309268337253,0.0014882367191291193,0.001052344126437648,0.0014882367191291193,0.9439131167827592
JUDGE_0075,CP_000103,7544,2495,177,235,60.856433041205946,355.39299944952126,0.0011519694998444454,0.0014704270119175623,0.0004210799706464976,0.0014704270119175623,0.9435762063209242
JUDGE_0076,CP_000104,8373,3843,207,232,60.776819442410726,355.3753431464232,0.0006304691448476195,0.0013160645646986952,0.0012598674649743765,0.0013160645646986952,0.9434691782597577
JUDGE_0077,CP_000105,10783,7727,292,241,60.54871750069037,355.4269244883756,0.0011009796611296076,0.0009942807246055535,0.0012149235871205051,0.0012149235871205051,0.9434361555002979
JUDGE_0078,CP_000107,9119,5056,233,229,60.706056629816736,355.35800804084437,0.0012550956834663366,0.001407218154989325,0.00047002912281902444,0.001407218154989325,0.9432554860466998
JUDGE_0079,CP_000110,8789,4522,221,235,60.73793444068223,355.39262750538916,0.00038040217154764936,0.0014491043313710353,0.0012892444769211399,0.0014491043313710353,0.9429018086098643
JUDGE_0080,CP_000111,14019,12949,406,238,60.2418451941458,355.4086206699728,0.0012214420831345538,0.0014563466697072463,0.00044592643445943156,0.0014563466697072463,0.942749226787394
JUDGE_0081,CP_000112,7045,1726,160,232,60.90239406620117,355.3758243214767,0.001432386875514649,0.0010668734014949387,0.0006518080040502092,0.001432386875514649,0.9427068105428195
JUDGE_0082,CP_000113,14102,13084,409,238,60.23388489422377,355.4083534498266,0.000575070327697113,0.0014445978750590833,0.0011192775359293726,0.0014445978750590833,0.9427057048281919
JUDGE_0083,CP_000114,11692,9200,324,229,60.46197677792079,355.3572196582961,0.00041390680651529483,0.0015168448353045502,0.001153958510973506,0.0015168448353045502,0.9424805626487762
JUDGE_0084,CP_000115,9618,5870,251,232,60.658317746250624,355.3750188606179,0.000828143395502795,0.0014720939711224386,0.0008336124331173883,0.0014720939711224386,0.9424257028641868
JUDGE_0085,CP_000117,9872,6292,260,247,60.63453152722019,355.46155411820104,0.0013703261079031218,0.001082981669228869,0.0008108785114881968,0.0013703261079031218,0.9420685950434586
JUDGE_0086,CP_000118,6712,1182,148,229,60.9342128069398,355.35820169832726,0.000765647905240171,0.0012855553728480429,0.0013054685343632383,0.0013054685343632383,0.9417232456648164
JUDGE_0087,CP_000119,7957,3164,192,229,60.816596805910706,355.35802969025036,0.001035110958944101,0.0013219019466850128,0.0009850678087776179,0.0013219019466850128,0.9417002167363532
JUDGE_0088,CP_000124,6048,101,125,229,60.996996366165966,355.3584339485282,0.0006910262905176401,0.0015152363907231917,0.0009874548979980071,0.0015152363907231917,0.9411380753754746
JUDGE_0089,CP_000131,11943,9612,333,235,60.438141162458045,355.3915651329241,0.00030707770015992385,0.0014208531710672055,0.0015241480232071768,0.0015241480232071768,0.9402971635294815
JUDGE_0090,CP_000133,10120,6649,268,244,60.612411171104156,355.4440641945312,0.0013039919197077455,0.0011403408005016388,0.0010429333373956947,0.0013039919197077455,0.9401092752835898
JUDGE_0091,CP_000134,8792,4532,221,244,60.73798936606611,355.4447880897253,0.0002758839318177925,0.0013447916146383202,0.0015867323962859533,0.0015867323962859533,0.9400732457621497
JUDGE_0092,CP_000135,8290,3708,204,232,60.78477716348615,355.3756015563299,0.001283680365822326,0.0012334964484779958,0.000994103828731124,0.001283680365822326,0.9400629873893279
